[DEBUG] [2021-05-27 16:02:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7c418166cd484d69b792ab402f4ffbd7, msgType : 19
[DEBUG] [2021-05-27 16:02:00] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f463f540096a4da6a328622169156ef1, msgType : 19
[DEBUG] [2021-05-27 16:02:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : af59506bf3bd4705b365ef1d7c9d4d24, msgType : 19
[DEBUG] [2021-05-27 16:02:02] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : c05514824cd54993b5e8eef040d7238a, msgType : 19
[DEBUG] [2021-05-27 16:02:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0a690375049a459c82af4f4433c9a319, msgType : 19
[DEBUG] [2021-05-27 16:02:04] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 2814197da51446a4b9cba8d900f824a5, msgType : 19
[DEBUG] [2021-05-27 16:02:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 3d9b13ea6b564677ae01559c9a98bff4, msgType : 19
[DEBUG] [2021-05-27 16:02:06] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5839ec0eaf4f4e398628c5bafc2dd949, msgType : 19
[DEBUG] [2021-05-27 16:02:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f9dd82fd59ac41de8027921f9c6ce5a2, msgType : 19
[DEBUG] [2021-05-27 16:02:08] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 80b9ac15d87447aeab94ddd0fbcedae3, msgType : 19
[DEBUG] [2021-05-27 16:02:10] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ed3af6adf16d47358d6dc147b338e77c, msgType : 19
